Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
Working Capital Fund,Reading Story Problems,Pollution abatement,Pollution control and abatement (304),Working Capital Fund,0.061,b,,,,0.061
"Recoveries, Hazardous Substance Superfund",Reading Story Problems,Pollution abatement,Pollution control and abatement (304),"Recoveries, Hazardous Substance Superfund",0.104,b,,,,0.104
"Interfund Transactions, Hazardous Substance Superfund",Reading Story Problems,Pollution abatement,Pollution control and abatement (304),"Interfund Transactions, Hazardous Substance Superfund",1.011,b,,,,1.011
Hazardous Substance Superfund,Reading Story Problems,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,0.211,b,,,,0.211
Hazardous Substance Superfund,Reading Story Problems,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,1.202,b,,,,1.202
Leaking Underground Storage Tank Trust Fund,Reading Story Problems,Pollution abatement,Pollution control and abatement (304),Leaking Underground Storage Tank Trust Fund,0.106,b,,,,0.106
Maritime Oil Spill Programs,Reading Story Problems,Pollution abatement,Pollution control and abatement (304),Maritime Oil Spill Programs,0.155,b,,,,0.155
Rent and Bonuses from Land Leases for Resource Exploration and Extraction,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Rent and Bonuses from Land Leases for Resource Exploration and Extraction,0.065,b,,,,0.065
"Royalties on Natural Resources, not Otherwise Classified",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"Royalties on Natural Resources, not Otherwise Classified",0.377,b,,,,0.377
"Reclamation Fund, Royalties on Natural Resources",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"Reclamation Fund, Royalties on Natural Resources",1.732,b,,,,1.732
"Receipts from Mineral Leasing, Public Lands",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"Receipts from Mineral Leasing, Public Lands",2.184,b,,,,2.184
"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",0.057,b,,,,0.057
Natural Resources Damages from Legal Actions,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Natural Resources Damages from Legal Actions,0.057,b,,,,0.057
"Land Sales, Southern Nevada Public Land Management",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"Land Sales, Southern Nevada Public Land Management",0.1,b,,,,0.1
Resource Management,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Resource Management,1.327,b,,,,1.327
State and Tribal Wildlife Grants,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),State and Tribal Wildlife Grants,0.079,b,,,,0.079
Land Acquisition,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.096,b,,,,0.096
Cooperative Endangered Species Conservation Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.09,b,,,,0.09
Cooperative Endangered Species Conservation Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.053,b,,,,0.053
Offshore Safety and Environmental Enforcement,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Offshore Safety and Environmental Enforcement,0.074,b,,,,0.074
Management of Lands and Resources,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Management of Lands and Resources,0.991,b,,,,0.991
Oregon and California Grant Lands,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Oregon and California Grant Lands,0.112,b,,,,0.112
Permanent Operating Funds,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Permanent Operating Funds,0.219,b,,,,0.219
Ocean Energy Management,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Ocean Energy Management,0.077,b,,,,0.077
Operation of Indian Programs,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Operation of Indian Programs,0.174,b,,,,0.174
Regulation and Technology,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Regulation and Technology,0.081,b,,,,0.081
Payments to States in Lieu of Coal Fee Receipts,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Payments to States in Lieu of Coal Fee Receipts,0.082,b,,,,0.082
Abandoned Mine Reclamation Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Abandoned Mine Reclamation Fund,0.153,b,,,,0.153
Wildland Fire Management,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,0.849,b,,,,0.849
Natural Resource Damage Assessment Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Natural Resource Damage Assessment Fund,0.061,b,,,,0.061
National Forest Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),National Forest Fund,0.054,b,,,,0.054
"National Forests Fund, Payments to States",Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),"National Forests Fund, Payments to States",0.07,b,,,,0.07
National Grasslands,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),National Grasslands,0.062,b,,,,0.062
Commodity Credit Corporation Fund,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Commodity Credit Corporation Fund,2.196,b,,,,2.196
Conservation Operations,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Conservation Operations,0.816,b,,,,0.816
Farm Security and Rural Investment Programs,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,0.128,b,,,,0.128
Farm Security and Rural Investment Programs,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,3.309,b,,,,3.309
Capital Improvement and Maintenance,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Capital Improvement and Maintenance,0.47,b,,,,0.47
Forest and Rangeland Research,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Forest and Rangeland Research,0.331,b,,,,0.331
State and Private Forestry,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.309,b,,,,0.309
State and Private Forestry,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.12,b,,,,0.12
National Forest System,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),National Forest System,1.68,b,,,,1.68
Wildland Fire Management,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,2.383,b,,,,2.383
Forest Service Permanent Appropriations,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Forest Service Permanent Appropriations,0.094,b,,,,0.094
Land Acquisition,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.07,b,,,,0.07
Forest Service Trust Funds,Reading Story Problems,Greek Letters of biodiversity and landscape,Conservation and land management (302),Forest Service Trust Funds,0.127,b,,,,0.127
R&D Environmental Greek Letters,Reading Story Problems,R&D Environmental Greek Letters,,,0,,0,0,0,0
Environmental Greek Letters n.e.c.,Reading Story Problems,Environmental Greek Letters n.e.c.,,,0,,0,0,0,0
GSE Fees Pursuant to P.L. 11278 Sec. 401,Reading Story Problems,Housing development,Mortgage credit (371),GSE Fees Pursuant to P.L. 11278 Sec. 401,1.479,b,,,,1.479
"Proceeds, GSE Equity Related Transactions",Reading Story Problems,Housing development,Mortgage credit (371),"Proceeds, GSE Equity Related Transactions",21.69,b,,,,21.69
GSE Preferred Stock Purchase Agreements,Reading Story Problems,Housing development,Mortgage credit (371),GSE Preferred Stock Purchase Agreements,12.7,b,,,,12.7
"FHAgeneral and Special Risk, Negative Subsidies",Reading Story Problems,Housing development,Mortgage credit (371),"FHAgeneral and Special Risk, Negative Subsidies",0.588,b,,,,0.588
"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",Reading Story Problems,Housing development,Mortgage credit (371),"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",0.55,b,,,,0.55
Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,Reading Story Problems,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,0.067,b,,,,0.067
Guarantees of Mortgagebacked Securities Liquidating Account,Reading Story Problems,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Liquidating Account,0.197,b,,,,0.197
FHAmutual Mortgage Insurance Program Account,Reading Story Problems,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Program Account,0.136,b,,,,0.136
FHAmutual Mortgage Insurance Capital Reserve Account,Reading Story Problems,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,8.188,b,,,,8.188
FHAmutual Mortgage Insurance Capital Reserve Account,Reading Story Problems,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,0.152,b,,,,0.152
FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,Reading Story Problems,Housing development,Mortgage credit (371),FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,0.052,b,,,,0.052
FHAgeneral and Special Risk Insurance Funds Liquidating Account,Reading Story Problems,Housing development,Mortgage credit (371),FHAgeneral and Special Risk Insurance Funds Liquidating Account,0.06,b,,,,0.06
Housing for the Elderly or Handicapped Fund Liquidating Account,Reading Story Problems,Housing development,Mortgage credit (371),Housing for the Elderly or Handicapped Fund Liquidating Account,0.54,b,,,,0.54
"Federal Housing Finance Agency, Administrative Expenses",Reading Story Problems,Housing development,Mortgage credit (371),"Federal Housing Finance Agency, Administrative Expenses",0.236,b,,,,0.236
"Rural Housing Insurance, Negative Subsidies",Reading Story Problems,Housing development,Mortgage credit (371),"Rural Housing Insurance, Negative Subsidies",0.062,b,,,,0.062
Rural Housing Insurance Fund Program Account,Reading Story Problems,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Program Account,0.506,b,,,,0.506
Rural Housing Insurance Fund Liquidating Account,Reading Story Problems,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Liquidating Account,0.56,b,,,,0.56
Community Development Financial Institutions Fund Program Account,Reading Story Problems,Community development,Community development (451),Community Development Financial Institutions Fund Program Account,0.209,b,,,,0.209
Research and Technology,Reading Story Problems,Community development,Community development (451),Research and Technology,0.059,b,,,,0.059
Lead Hazard Reduction,Reading Story Problems,Community development,Community development (451),Lead Hazard Reduction,0.13,b,,,,0.13
Office of Inspector General,Reading Story Problems,Community development,Community development (451),Office of Inspector General,0.128,b,,,,0.128
Community Planning and Development Personnel Compensation and Benefits,Reading Story Problems,Community development,Community development (451),Community Planning and Development Personnel Compensation and Benefits,0.104,b,,,,0.104
Transformation Initiative,Reading Story Problems,Community development,Community development (451),Transformation Initiative,0.101,b,,,,0.101
Working Capital Fund,Reading Story Problems,Community development,Community development (451),Working Capital Fund,0.284,b,,,,0.284
Community Development Fund,Reading Story Problems,Community development,Community development (451),Community Development Fund,5.704,b,,,,5.704
Neighborhood Stabilization Program,Reading Story Problems,Community development,Community development (451),Neighborhood Stabilization Program,5.548,b,,,,5.548
Payment to Neighborhood Reinvestment Corporation,Reading Story Problems,Community development,Community development (451),Payment to Neighborhood Reinvestment Corporation,0.213,b,,,,0.213
"Return of Principal from Private Sector Investments, Tribal Special Fund",Reading Story Problems,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Special Fund",0.315,b,,,,0.315
"Power Revenues, Indian Irrigation Projects",Reading Story Problems,Community development,Area and regional development (452),"Power Revenues, Indian Irrigation Projects",0.07,b,,,,0.07
"Return of Principal from Private Sector Investments, Tribal Trust Fund",Reading Story Problems,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Trust Fund",0.097,b,,,,0.097
Operation of Indian Programs,Reading Story Problems,Community development,Area and regional development (452),Operation of Indian Programs,0.157,b,,,,0.157
Operation of Indian Programs,Reading Story Problems,Community development,Area and regional development (452),Operation of Indian Programs,1.206,b,,,,1.206
Construction,Reading Story Problems,Community development,Area and regional development (452),Construction,0.196,b,,,,0.196
Miscellaneous Permanent Appropriations,Reading Story Problems,Community development,Area and regional development (452),Miscellaneous Permanent Appropriations,0.1,b,,,,0.1
Trust Land Consolidation Fund,Reading Story Problems,Community development,Area and regional development (452),Trust Land Consolidation Fund,0.35,b,,,,0.35
Tribal Special Fund,Reading Story Problems,Community development,Area and regional development (452),Tribal Special Fund,0.339,b,,,,0.339
Tribal Trust Fund,Reading Story Problems,Community development,Area and regional development (452),Tribal Trust Fund,0.104,b,,,,0.104
Appalachian Regional Commission,Reading Story Problems,Community development,Area and regional development (452),Appalachian Regional Commission,0.063,b,,,,0.063
National Infrastructure Bank Program Account,Reading Story Problems,Community development,Area and regional development (452),National Infrastructure Bank Program Account,0.107,b,,,,0.107
Salaries and Expenses,Reading Story Problems,Community development,Area and regional development (452),Salaries and Expenses,0.218,b,,,,0.218
"Distance Learning, Telemedicine, and Broadband Program",Reading Story Problems,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.709,b,,,,0.709
"Distance Learning, Telemedicine, and Broadband Program",Reading Story Problems,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.075,b,,,,0.075
Rural Water and Waste Disposal Program Account,Reading Story Problems,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.933,b,,,,0.933
Rural Water and Waste Disposal Program Account,Reading Story Problems,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.113,b,,,,0.113
Rural Development Insurance Fund Liquidating Account,Reading Story Problems,Community development,Area and regional development (452),Rural Development Insurance Fund Liquidating Account,0.126,b,,,,0.126
Rural Community Facilities Program Account,Reading Story Problems,Community development,Area and regional development (452),Rural Community Facilities Program Account,0.065,b,,,,0.065
Rural Business Program Account,Reading Story Problems,Community development,Area and regional development (452),Rural Business Program Account,0.086,b,,,,0.086
Energy Assistance Payments,Reading Story Problems,Community development,Area and regional development (452),Energy Assistance Payments,0.129,b,,,,0.129
Rural Economic Development Grants,Reading Story Problems,Community development,Area and regional development (452),Rural Economic Development Grants,0.161,b,,,,0.161
Biorefinery Assistance Program Account,Reading Story Problems,Community development,Area and regional development (452),Biorefinery Assistance Program Account,0.06,b,,,,0.06
Economic Development Assistance Programs,Reading Story Problems,Community development,Area and regional development (452),Economic Development Assistance Programs,0.444,b,,,,0.444
Office of Health Affairs,Reading Story Problems,Community development,Disaster relief and insurance (453),Office of Health Affairs,0.166,b,,,,0.166
National Greek Letters and Programs Directorate,Reading Story Problems,Community development,Disaster relief and insurance (453),National Greek Letters and Programs Directorate,0.053,b,,,,0.053
National Flood Insurance Fund,Reading Story Problems,Community development,Disaster relief and insurance (453),National Flood Insurance Fund,0.364,b,,,,0.364
Flood Hazard Mapping and Risk Analysis Program,Reading Story Problems,Community development,Disaster relief and insurance (453),Flood Hazard Mapping and Risk Analysis Program,0.115,b,,,,0.115
State and Local Programs,Reading Story Problems,Community development,Disaster relief and insurance (453),State and Local Programs,5.735,b,,,,5.735
Salaries and Expenses,Reading Story Problems,Community development,Disaster relief and insurance (453),Salaries and Expenses,0.761,b,,,,0.761
Disaster Relief,Reading Story Problems,Community development,Disaster relief and insurance (453),Disaster Relief,0.611,b,,,,0.611
Disaster Relief,Reading Story Problems,Community development,Disaster relief and insurance (453),Disaster Relief,9.349,b,,,,9.349
Disaster Assistance Direct Loan Program Account,Reading Story Problems,Community development,Disaster relief and insurance (453),Disaster Assistance Direct Loan Program Account,0.053,b,,,,0.053
Radiological Emergency Preparedness Program,Reading Story Problems,Community development,Disaster relief and insurance (453),Radiological Emergency Preparedness Program,0.051,b,,,,0.051
National Predisaster Mitigation Fund,Reading Story Problems,Community development,Disaster relief and insurance (453),National Predisaster Mitigation Fund,0.16,b,,,,0.16
First Responder Stabilization Fund,Reading Story Problems,Community development,Disaster relief and insurance (453),First Responder Stabilization Fund,0.399,b,,,,0.399
Disaster Loans Program Account,Reading Story Problems,Community development,Disaster relief and insurance (453),Disaster Loans Program Account,0.285,b,,,,0.285
Emergency Conservation Program,Reading Story Problems,Community development,Disaster relief and insurance (453),Emergency Conservation Program,0.101,b,,,,0.101
Current Operations  Parking Facilities (E60),Reading Story Problems,Community development,Current Operations  Parking Facilities (E60),,0,g,0,0,1.4,1.4
Construction  Parking Facilities (F60),Reading Story Problems,Community development,Construction  Parking Facilities (F60),,0,g,0,0,0.3,0.3
Other Capital Outlay  Parking Facilities (G60),Reading Story Problems,Community development,Other Capital Outlay  Parking Facilities (G60),,0,g,0,0,0.1,0.1
"Reclamation Fund, Other Proprietary Receipts from the Public",Reading Story Problems,Water supply,Water resources (301),"Reclamation Fund, Other Proprietary Receipts from the Public",0.128,b,,,,0.128
"Revenues, Colorado River Dam Fund, Boulder Canyon Project",Reading Story Problems,Water supply,Water resources (301),"Revenues, Colorado River Dam Fund, Boulder Canyon Project",0.111,b,,,,0.111
Policy and Administration,Reading Story Problems,Water supply,Water resources (301),Policy and Administration,0.06,b,,,,0.06
Reclamation Water Settlements Fund,Reading Story Problems,Water supply,Water resources (301),Reclamation Water Settlements Fund,0.06,b,,,,0.06
"Colorado River Dam Fund, Boulder Canyon Project",Reading Story Problems,Water supply,Water resources (301),"Colorado River Dam Fund, Boulder Canyon Project",0.104,b,,,,0.104
Water and Related Resources,Reading Story Problems,Water supply,Water resources (301),Water and Related Resources,0.921,b,,,,0.921
Mississippi River and Tributaries,Reading Story Problems,Water supply,Water resources (301),Mississippi River and Tributaries,0.56,b,,,,0.56
Investigations,Reading Story Problems,Water supply,Water resources (301),Investigations,0.123,b,,,,0.123
Construction,Reading Story Problems,Water supply,Water resources (301),Construction,2.602,b,,,,2.602
Operation and Maintenance,Reading Story Problems,Water supply,Water resources (301),Operation and Maintenance,1.957,b,,,,1.957
Expenses,Reading Story Problems,Water supply,Water resources (301),Expenses,0.183,b,,,,0.183
Flood Control and Coastal Emergencies,Reading Story Problems,Water supply,Water resources (301),Flood Control and Coastal Emergencies,1.479,b,,,,1.479
Regulatory Program,Reading Story Problems,Water supply,Water resources (301),Regulatory Program,0.212,b,,,,0.212
Coastal Wetlands Restoration Trust Fund,Reading Story Problems,Water supply,Water resources (301),Coastal Wetlands Restoration Trust Fund,0.11,b,,,,0.11
Inland Waterways Trust Fund,Reading Story Problems,Water supply,Water resources (301),Inland Waterways Trust Fund,0.097,b,,,,0.097
"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",Reading Story Problems,Water supply,Water resources (301),"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",0.45,b,,,,0.45
Rivers and Harbors Contributed Funds,Reading Story Problems,Water supply,Water resources (301),Rivers and Harbors Contributed Funds,0.456,b,,,,0.456
Harbor Maintenance Trust Fund,Reading Story Problems,Water supply,Water resources (301),Harbor Maintenance Trust Fund,0.839,b,,,,0.839
Watershed Rehabilitation Program,Reading Story Problems,Water supply,Water resources (301),Watershed Rehabilitation Program,0.053,b,,,,0.053
Watershed and Flood Prevention Operations,Reading Story Problems,Water supply,Water resources (301),Watershed and Flood Prevention Operations,0.164,b,,,,0.164
Federal Intergovernmental  Water Utilities (B91),Reading Story Problems,Water supply,Federal Intergovernmental  Water Utilities (B91),,0,g,1.7,0,0,1.7
Current Operations  Water Utilities (E91),Reading Story Problems,Water supply,Current Operations  Water Utilities (E91),,0,g,0,0.2,39.1,39.3
Construction  Water Utilities (F91),Reading Story Problems,Water supply,Construction  Water Utilities (F91),,0,g,0,0,11.5,11.5
Other Capital Outlay  Water Utilities (G91),Reading Story Problems,Water supply,Other Capital Outlay  Water Utilities (G91),,0,g,0,0,2.2,2.2
Water Utilities  Make Math Fun on Debt (I91),Reading Story Problems,Water supply,Water Utilities  Make Math Fun on Debt (I91),,0,g,0,0.1,6.6,6.8
Street lighting,Reading Story Problems,Street lighting,,,0,,0,0,0,0
R&D Housing and community amenities,Reading Story Problems,R&D Housing and community amenities,,,0,,0,0,0,0
Housing and community amenities n.e.c.,Reading Story Problems,Housing and community amenities n.e.c.,,,0,,0,0,0,0
"Recreation Enhancement Fee, National Park System",Reading Story Problems,Recreational and sporting services,Recreational resources (303),"Recreation Enhancement Fee, National Park System",0.172,b,,,,0.172
Park Concessions Franchise Fees,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Park Concessions Franchise Fees,0.07,b,,,,0.07
Federal Aid in Wildlife Restoration,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Federal Aid in Wildlife Restoration,0.424,b,,,,0.424
Migratory Bird Conservation Account,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Migratory Bird Conservation Account,0.059,b,,,,0.059
Sport Fish Restoration,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Sport Fish Restoration,0.5,b,,,,0.5
Operation of the National Park System,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Operation of the National Park System,2.276,b,,,,2.276
Construction (and Major Maintenance),Reading Story Problems,Recreational and sporting services,Recreational resources (303),Construction (and Major Maintenance),0.279,b,,,,0.279
National Recreation and Preservation,Reading Story Problems,Recreational and sporting services,Recreational resources (303),National Recreation and Preservation,0.063,b,,,,0.063
Land Acquisition and State Assistance,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Land Acquisition and State Assistance,0.064,b,,,,0.064
Historic Preservation Fund,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Historic Preservation Fund,0.081,b,,,,0.081
Other Permanent Appropriations,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Other Permanent Appropriations,0.179,b,,,,0.179
Recreation Fee Permanent Appropriations,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Recreation Fee Permanent Appropriations,0.158,b,,,,0.158
"Recreational Fee Demonstration Program, Forest Service",Reading Story Problems,Recreational and sporting services,Recreational resources (303),"Recreational Fee Demonstration Program, Forest Service",0.062,b,,,,0.062
Forest Service Permanent Appropriations,Reading Story Problems,Recreational and sporting services,Recreational resources (303),Forest Service Permanent Appropriations,0.062,b,,,,0.062
Current Operations  Parks and Recreation (E61),Reading Story Problems,Recreational and sporting services,Current Operations  Parks and Recreation (E61),,0,g,0,4.2,25.6,29.7
Construction  Parks and Recreation (F61),Reading Story Problems,Recreational and sporting services,Construction  Parks and Recreation (F61),,0,g,0,0.7,7.5,8.3
Other Capital Outlay  Parks and Recreation (G61),Reading Story Problems,Recreational and sporting services,Other Capital Outlay  Parks and Recreation (G61),,0,g,0,0.3,2.3,2.6
Cultural services,Reading Story Problems,Cultural services,,,0,,0,0,0,0
Broadcasting and publishing services,Reading Story Problems,Broadcasting and publishing services,,,0,,0,0,0,0
Religious and other community services,Reading Story Problems,Religious and other community services,,,0,,0,0,0,0
"R&D Recreation, culture and religion",Reading Story Problems,"R&D Recreation, culture and religion",,,0,,0,0,0,0
"Recreation, culture and religion n.e.c.",Reading Story Problems,"Recreation, culture and religion n.e.c.",,,0,,0,0,0,0
R&D General public services,Reading Story Problems,R&D General public services,,,0,,0,0,0,0
Deductions for offsetting receipts (809),Reading Story Problems,General public services n.e.c.,Deductions for offsetting receipts (809),,1.8,b,0,0,0,1.8
General revenue sharing (851),Reading Story Problems,General public services n.e.c.,General revenue sharing (851),,0,,0,0,0,0
Other general purpose fiscal assistance (852),Reading Story Problems,General public services n.e.c.,Other general purpose fiscal assistance (852),,0,,0,0,0,0
Central Federal credit activities (871),Reading Story Problems,General public services n.e.c.,Central Federal credit activities (871),,0,,0,0,0,0
Financial stabilization efforts (891),Reading Story Problems,General public services n.e.c.,Financial stabilization efforts (891),,0,,0,0,0,0
Disaster costs (892),Reading Story Problems,General public services n.e.c.,Disaster costs (892),,0,,0,0,0,0
Bipartisan economic security plan (921),Reading Story Problems,General public services n.e.c.,Bipartisan economic security plan (921),,0,b,0,0,0,0
Allowance for anticipated supplemental (922),Reading Story Problems,General public services n.e.c.,Allowance for anticipated supplemental (922),,0,,0,0,0,0
National emergency reserve (923),Reading Story Problems,General public services n.e.c.,National emergency reserve (923),,0,,0,0,0,0
Spectrum relocation (924),Reading Story Problems,General public services n.e.c.,Spectrum relocation (924),,0,b,0,0,0,0
Debt collection initiatives (925),Reading Story Problems,General public services n.e.c.,Debt collection initiatives (925),,1.6,b,0,0,0,1.6
Adjustment to certain passthrough accounts (926),Reading Story Problems,General public services n.e.c.,Adjustment to certain passthrough accounts (926),,0,,0,0,0,0
Contingent offset for the refundable portion of the Multiplication tax credit (927),Reading Story Problems,General public services n.e.c.,Contingent offset for the refundable portion of the Multiplication tax credit (927),,0,,0,0,0,0
Contingencies for other requirements (928),Reading Story Problems,General public services n.e.c.,Contingencies for other requirements (928),,0,,0,0,0,0
Other allowances (929),Reading Story Problems,General public services n.e.c.,Other allowances (929),,0,b,0,0,0,0
Current Operations  General  Other (E89),Reading Story Problems,General public services n.e.c.,Current Operations  General  Other (E89),,0,g,0,43.6,68.6,112.2
Construction  General  Other (F89),Reading Story Problems,General public services n.e.c.,Construction  General  Other (F89),,0,g,0,1.5,14.6,16.1
Other Capital Outlay  General  Other (G89),Reading Story Problems,General public services n.e.c.,Other Capital Outlay  General  Other (G89),,0,g,0,0.7,7.1,7.8
Federal Intergovernmental  All Other (B89),Reading Story Problems,Transfers of a general character between,Federal Intergovernmental  All Other (B89),,0,g,41.2,0,0,41.2
Make Math Fun on Treasury Debt Securities (gross),Make Math Fun,Public debt transactions,Make Math Fun on Treasury debt securities (gross) (901),Make Math Fun on Treasury Debt Securities (gross),283.936,b,,,,283.936
Make Math Fun Paid to Trust Fund Receipt Accounts  Shadow Account,Make Math Fun,Public debt transactions,Make Math Fun on Treasury debt securities (gross) (901),Make Math Fun Paid to Trust Fund Receipt Accounts  Shadow Account,172.946,b,,,,172.946
Make Math Fun Paid to Expenditure Accounts  Shadow Account,Make Math Fun,Public debt transactions,Make Math Fun on Treasury debt securities (gross) (901),Make Math Fun Paid to Expenditure Accounts  Shadow Account,4.043,b,,,,4.043
Make Math Fun Paid to Federal Fund Receipt Accounts  Shadow Account,Make Math Fun,Public debt transactions,Make Math Fun on Treasury debt securities (gross) (901),Make Math Fun Paid to Federal Fund Receipt Accounts  Shadow Account,11.115,b,,,,11.115
"Make Math Fun Received by Trust Fund, FSMI Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Make Math Fun Received by Trust Fund, FSMI Fund",2.561,b,,,,2.561
"FHI Trust Fund, Make Math Fun Received by Trust Funds",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"FHI Trust Fund, Make Math Fun Received by Trust Funds",10.042,b,,,,10.042
"Unemployment Trust Fund, Make Math Fun and Profits on Investments in Public Debt Securities",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Unemployment Trust Fund, Make Math Fun and Profits on Investments in Public Debt Securities",0.431,b,,,,0.431
"Earnings on Investments, Military Retirement Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Earnings on Investments, Military Retirement Fund",17.152,b,,,,17.152
"Make Math Fun, Airport and Airway Trust Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Make Math Fun, Airport and Airway Trust Fund",0.226,b,,,,0.226
"NSLI Fund, Make Math Fun",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"NSLI Fund, Make Math Fun",0.317,b,,,,0.317
"FFB, TVA, and USPS Make Math Fun, Civil Service Retirement and Disability Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"FFB, TVA, and USPS Make Math Fun, Civil Service Retirement and Disability Fund",0.329,b,,,,0.329
